document_name,page_number,country,iso3,frequency
OCR-D19874670.json,10,Uganda,UGA,1
OCR-D19874670.json,11,Uganda,UGA,1
OCR-D19874670.json,12,Uganda,UGA,1
OCR-D19874670.json,14,Brazil,BRA,1
OCR-D19874670.json,16,Brazil,BRA,1
OCR-D19874670.json,16,India,IND,1
OCR-D19874670.json,16,Mexico,MEX,1
OCR-D19874670.json,16,United States,USA,1
OCR-D19874670.json,17,Brazil,BRA,1
OCR-D19874670.json,17,Mexico,MEX,1
OCR-D19874670.json,18,Brazil,BRA,1
OCR-D19874670.json,18,India,IND,1
OCR-D19874670.json,18,Kenya,KEN,1
OCR-D19874670.json,18,Sri Lanka,LKA,1
OCR-D19874670.json,18,Uganda,UGA,1
OCR-D19874670.json,19,Brazil,BRA,1
OCR-D19874670.json,20,Chile,CHL,1
OCR-D19874670.json,20,Costa Rica,CRI,1
OCR-D19874670.json,20,Ireland,IRL,1
OCR-D19874670.json,20,Mauritius,MUS,1
OCR-D19874670.json,27,India,IND,1
OCR-D19874670.json,27,Uganda,UGA,1
OCR-D19874670.json,28,Brazil,BRA,1
OCR-D19874670.json,28,United Kingdom,GBR,1
OCR-D19874670.json,28,Mexico,MEX,1
OCR-D19874670.json,28,Uganda,UGA,1
OCR-D19874670.json,29,India,IND,1
OCR-D19874670.json,30,Brazil,BRA,1
OCR-D19874670.json,30,Indonesia,IDN,1
OCR-D19874670.json,30,Uganda,UGA,1
OCR-D19874670.json,31,Brazil,BRA,1
OCR-D19874670.json,31,Kenya,KEN,1
OCR-D8980990.json,0,China,CHN,1
OCR-D8980990.json,1,China,CHN,1
OCR-D8980990.json,2,China,CHN,1
OCR-D8980990.json,3,China,CHN,1
OCR-D8980990.json,3,Greece,GRC,1
OCR-D8980990.json,3,Sweden,SWE,1
OCR-D8980990.json,4,China,CHN,1
OCR-D8980990.json,4,India,IND,1
OCR-D8980990.json,5,China,CHN,1
OCR-D8980990.json,5,Greece,GRC,1
OCR-D8980990.json,5,Philippines,PHL,1
OCR-D8980990.json,5,United States,USA,1
OCR-D8980990.json,6,Bangladesh,BGD,1
OCR-D8980990.json,6,China,CHN,1
OCR-D8980990.json,6,India,IND,1
OCR-D8980990.json,6,United States,USA,1
OCR-D8980990.json,7,China,CHN,1
OCR-D8980990.json,8,China,CHN,1
OCR-D8980990.json,8,India,IND,1
OCR-D8980990.json,9,France,FRA,1
OCR-D8980990.json,9,Greece,GRC,1
OCR-D8980990.json,9,Greenland,GRL,1
OCR-D8980990.json,9,Philippines,PHL,1
OCR-D8980990.json,10,China,CHN,1
OCR-D8980990.json,11,China,CHN,1
OCR-D8980990.json,12,Botswana,BWA,1
OCR-D8980990.json,12,Liberia,LBR,1
OCR-D8980990.json,12,Mali,MLI,1
OCR-D8980990.json,12,Malawi,MWI,1
